county_id,name,population,events
C00,County A,310000,2835
C01,County B,90000,979
C02,County C,300000,3123
C03,County D,40000,846
C04,County E,150000,1533
C05,County F,410000,3987
C06,County G,480000,4632
C07,County H,190000,2031
C08,County I,460000,4824
C09,County J,430000,3574
C10,County K,170000,1541
C11,County L,430000,8838
C12,County M,470000,5338
C13,County N,40000,425
C14,County O,110000,865
C15,County P,350000,3137
C16,County Q,150000,1391
C17,County R,40000,853
C18,County S,80000,904
C19,County T,320000,3728
